Name,General Category,Type,Physical (AP),Magic (AP),Fire (AP),Lightning (AP),Holy (AP),Critical (AP),Stamina,Strength (AS),Dexterity (AS),Intelligence (AS),Faith (AS),Arcane (AS),Passive Effects,Physical (GDN),Magic (GDN),Fire (GDN),Lightning (GDN),Holy (GDN),Guarded Boost (GDN),Rest,Weight (GDN),Upgrade
Academy Glintstone Staff,Glintstone Staff,Glintstone Staff,43,-,-,-,-,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Alabaster Lord's Sword,Sword,Greatsword,313,93,-,-,-,100,126,B,D,D,-,-,-,56,33,27,27,27,39,19,8,Somber Smithing Stones
Albinauric Bow,Bow,Bow,200,-,-,-,-,100,60,E,D,-,-,-,-,-,-,-,-,-,-,-,4.5,Smithing Stones
Albinauric Staff,Glintstone Staff,Glintstone Staff,29,-,-,-,-,100,38,D,-,B,-,S,-,23,14,14,14,14,14,9,2.5,Smithing Stones
Antspur Rapier,Sword,Thrusting Sword,240,-,-,-,-,100,62,D,C,-,-,-,-55,47,31,31,31,31,25,10,3,Smithing Stones
Arbalest,Bow,Crossbow,308,-,-,-,-,100,68,-,-,-,-,-,-,-,-,-,-,-,-,-,6,Smithing Stones
Astrologer's Staff,Glintstone Staff,Glintstone Staff,43,-,-,-,-,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Axe of Godfrey,Colossal Weapon,Colossal Weapon,404,-,-,-,-,100,150,C,D,-,-,-,-,75,45,45,45,45,50,25,18,Somber Smithing Stones
Axe of Godrick,Hammer/Axe,Greataxe,347,-,-,-,-,100,150,D,D,-,-,-,-,65,35,35,35,35,42,20,11,Somber Smithing Stones
Azur's Glintstone Staff,Glintstone Staff,Glintstone Staff,58,-,-,-,-,100,42,C,-,S,-,-,-,25,15,15,15,15,15,10,4,Somber Smithing Stones
Bandit's Curved Sword,Sword,Curved Sword,289,-,-,-,-,100,98,D,C,-,-,-,-,48,36,36,36,36,36,12,5,Smithing Stones
Banished Knight's Greatsword,Sword,Greatsword,347,-,-,-,-,100,132,C,D,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Banished Knight's Halberd,Polearm,Halberd,306,-,-,-,-,100,122,C,C,-,-,-,-,55,35,35,35,35,50,15,8,Smithing Stones
Bastard Sword,Sword,Greatsword,338,-,-,-,-,100,126,C,D,-,-,-,-,65,35,35,35,35,50,20,9,Smithing Stones
